category,sub_category,revenue,profit,quantity,discount_amount,profit_margin_pct
Electronics,Headphones,136824998.03,44209892.46,22962,9729380.49,32.31
Electronics,Cameras,129429223.04,40365629.94,20804,9558637.85,31.19
Automotive,Car Accessories,72335188.5,23646051.06,34239,5423040.83,32.69
Sports & Fitness,Sportswear,70478595.73,25356794.23,31705,5352301.67,35.98
Home & Kitchen,Storage,69374813.79,23427749.69,26032,5094030.77,33.77
Home & Kitchen,Cookware,66946588.19,21119600.75,35180,4780279.63,31.55
Electronics,Accessories,59846596.84,20742810.79,8577,4516883.51,34.66
Electronics,Mobiles,52647124.57,14885293.68,8351,3972165.6,28.27
Home & Kitchen,Furniture,48580949.99,18239065.62,14799,3417061.7,37.54
Automotive,Tools,46950858.88,13887799.56,20415,3388724.7,29.58
Sports & Fitness,Gym Equipment,38264118.69,10314504.24,29531,2859272.75,26.96
Electronics,Laptops,35459215.01,4292525.55,5614,2602982.84,12.11
Pet Supplies,Pet Accessories,34971509.91,11534742.65,49626,2565942.53,32.98
Toys & Baby,Baby Care,34829366.41,9988567.1,31539,2539612.18,28.68
Automotive,Bike Accessories,34216699.93,10110902.76,23775,2431636.87,29.55
Health,Wellness,28510639.2,7654903.21,41251,2114715.18,26.85
Home & Kitchen,Home Decor,27846183.26,10438562.76,17569,2010833.4,37.49
Office Supplies,Furniture,27159911.15,8332858.86,43830,2016253.57,30.68
Sports & Fitness,Outdoor,26173020.2,8825920.04,21170,1939708.96,33.72
Toys & Baby,Toys,25152654.0,7972235.68,43721,1825335.34,31.7
Toys & Baby,Games,22043858.44,6525181.1,23026,1666166.64,29.6
Fashion,Women'S Clothing,17997527.02,4701390.7,17015,1327854.5,26.12
Health,Medical Devices,17365523.36,5614398.38,20245,1248951.01,32.33
Fashion,Watches,17225816.21,5098648.7299999995,14292,1321956.44,29.6
Fashion,Bags,17036377.16,5799571.59,14308,1244649.03,34.04
Health,Supplements,17017364.32,4922185.98,32056,1245150.2,28.92
Pet Supplies,Pet Food,15766142.5,6580285.41,20010,1159181.99,41.74
Beauty & Personal Care,Skincare,15669713.01,5103592.3,35382,1138267.88,32.57
Beauty & Personal Care,Haircare,15551166.209999999,5333002.82,25924,1147093.1,34.29
Sports & Fitness,Cycling,14137999.77,3169927.33,8797,1011251.01,22.42
Office Supplies,Stationery,12225783.0,4121030.35,17609,887253.33,33.71
Beauty & Personal Care,Fragrances,11946181.9,4991188.69,11355,814229.53,41.78
Home & Kitchen,Lighting,11414744.17,1720501.67,2909,901147.31,15.07
Beauty & Personal Care,Makeup,9336788.92,2943045.86,17400,686332.78,31.52
Books,Non-Fiction,8738006.01,2322770.82,16923,636030.0,26.58
Books,Children,7895242.63,1767694.5,20352,598236.99,22.39
Fashion,Men'S Clothing,7664172.4,2516138.31,5993,587136.28,32.83
Fashion,Footwear,6273595.82,1998382.8699999999,5723,427829.1,31.85
Books,Fiction,5620252.21,1726527.84,17474,402865.9,30.72
Office Supplies,Printers,4676100.0200000005,1324713.42,8785,350132.89,28.33
Grocery,Staples,3820145.9,1365870.78,17334,283723.08,35.75
Grocery,Beverages,3488673.86,874075.01,14832,251391.69,25.05
Books,Academic,3350496.43,627514.62,14722,242445.5,18.73
Grocery,Organic,2749886.18,982398.76,5766,199081.06,35.73
Grocery,Snacks,2305518.35,731029.14,11925,170469.38,31.71
