state,city,revenue,profit,orders,customers,average_order_value
Gujarat,Surat,50427336.05,15891426.61,3934,1053,12818.34
Assam,Guwahati,50170956.09,15825804.44,3794,1076,13223.76
Maharashtra,Pune,49511078.08,15475070.57,3772,1070,13125.95
Maharashtra,Nagpur,47602312.94,14905838.09,3716,1077,12810.09
Maharashtra,Mumbai,47491243.8,14907541.56,3604,1019,13177.37
Odisha,Bhubaneswar,46727872.41,14637797.75,3577,1080,13063.43
Karnataka,Bengaluru,46545904.74,14603583.05,3571,1052,13034.42
Madhya Pradesh,Bhopal,46390312.74,14403584.6,3589,1042,12925.69
Chhattisgarh,Raipur,46119486.02,14459863.09,3553,982,12980.44
Tamil Nadu,Coimbatore,45939440.73,14217812.57,3465,1039,13258.14
Kerala,Thiruvananthapuram,45672761.0,14235992.22,3530,1063,12938.46
Kerala,Kochi,44821967.49,14033611.35,3510,1068,12769.79
Delhi,Delhi,44462578.11,14153277.41,3394,1065,13100.35
Tamil Nadu,Chennai,44266060.31,13759456.32,3466,1031,12771.51
Rajasthan,Jaipur,44119831.06,13783926.61,3396,969,12991.71
Uttar Pradesh,Kanpur,43966813.87,13477894.94,3432,1023,12810.84
Punjab,Chandigarh,43777622.62,13655406.53,3346,1025,13083.57
Gujarat,Ahmedabad,43756426.64,13677129.17,3469,1000,12613.56
Uttar Pradesh,Lucknow,43639388.25,13572568.51,3370,1021,12949.37
Uttarakhand,Dehradun,43464864.98,13610123.06,3347,1025,12986.22
Goa,Panaji,43443655.57,13476849.47,3362,1035,12921.97
Madhya Pradesh,Indore,43387048.38,13586803.71,3378,1026,12844.0
Telangana,Warangal,43219577.82,13516006.78,3408,973,12681.8
Telangana,Hyderabad,42494581.94,13423990.35,3338,1067,12730.55
Jharkhand,Ranchi,41647059.65,12946809.98,3310,1004,12582.19
Karnataka,Mysuru,41613058.98,13077743.31,3181,1046,13081.75
Rajasthan,Udaipur,41553017.48,13066080.84,3201,1015,12981.26
West Bengal,Kolkata,40979890.83,12963585.43,3134,1017,13075.91
Bihar,Patna,40507315.48,12575492.99,3117,1038,12995.61
West Bengal,Siliguri,39595867.06,12286406.3,3138,1033,12618.19
