year_month,revenue,profit,orders,revenue_mom_pct,profit_mom_pct
2022-01,36581449.81,11393263.94,2869,,
2022-02,34751899.83,10854746.49,2629,-5.0,-4.73
2022-03,38004930.71,11881285.05,2946,9.36,9.46
2022-04,36726068.93,11599668.31,2853,-3.36,-2.37
2022-05,38732269.02,12069595.14,2942,5.46,4.05
2022-06,36484944.21,11560178.01,2810,-5.8,-4.22
2022-07,38649005.8,12096541.66,2997,5.93,4.64
2022-08,37546191.75,11812988.18,2858,-2.85,-2.34
2022-09,38033553.64,11873747.38,2850,1.3,0.51
2022-10,37265606.07,11543593.02,2854,-2.02,-2.78
2022-11,36763976.76,11595486.4,2816,-1.35,0.45
2022-12,38037905.15,11811068.2,3010,3.47,1.86
2023-01,38147222.14,11981359.09,2941,0.29,1.44
2023-02,35271439.53,11002065.23,2695,-7.54,-8.17
2023-03,37423135.2,11632276.19,3007,6.1,5.73
2023-04,36895990.27,11549853.25,2848,-1.41,-0.71
2023-05,37827444.69,11936675.26,2921,2.52,3.35
2023-06,35291894.93,10977811.17,2779,-6.7,-8.03
2023-07,38107056.72,11845170.77,2971,7.98,7.9
2023-08,38022868.86,12023586.74,2930,-0.22,1.51
2023-09,36549977.31,11371260.45,2821,-3.87,-5.43
2023-10,37474125.24,11703160.53,2953,2.53,2.92
2023-11,36585087.58,11335304.83,2799,-2.37,-3.14
2023-12,37416448.34,11716425.65,2926,2.27,3.36
2024-01,38689712.13,12062437.44,2965,3.4,2.95
2024-02,34683021.92,10902619.96,2685,-10.36,-9.62
2024-03,36830204.36,11530449.56,2860,6.19,5.76
2024-04,35827120.8,11187823.35,2805,-2.72,-2.97
2024-05,37468976.14,11728780.52,2892,4.58,4.84
2024-06,37265948.33,11721665.79,2829,-0.54,-0.06
2024-07,36334758.02,11372369.34,2908,-2.5,-2.98
2024-08,37420656.79,11736680.55,2933,2.99,3.2
2024-09,36383042.67,11275170.65,2791,-2.77,-3.93
2024-10,37951690.38,11883938.02,2948,4.31,5.4
2024-11,36606826.32,11341950.43,2803,-3.54,-4.56
2024-12,39262880.77,12296481.06,2958,7.26,8.42
