product_id,product_name,category,brand,revenue,profit,quantity_sold,profit_margin_pct
80,Highline Cameras Max,Electronics,Highline,43355022.37,14044744.540000001,3127,32.39
152,Pulse Headphones Max,Electronics,Pulse,30329550.86,11032106.98,2743,36.37
272,Verve Accessories Max,Electronics,Verve,26945668.94,8263410.74,2910,30.67
271,Sable Sportswear Pro,Sports & Fitness,Sable,26198315.009999998,9206399.4,2931,35.14
13,Vertex Headphones Pro,Electronics,Vertex,23595390.84,9766186.72,2764,41.39
171,Crestline Mobiles Lite,Electronics,Crestline,21311582.19,7020762.09,2837,32.94
62,Crestline Headphones Max,Electronics,Crestline,20290549.71,5579307.65,3049,27.5
128,Urban Craft Cameras Max,Electronics,Urban Craft,19635555.39,7375782.45,2969,37.56
56,Falcon Accessories Max,Electronics,Falcon,19587435.240000002,7751211.390000001,2755,39.57
8,Falcon Headphones Max,Electronics,Falcon,19151984.02,6957842.58,3088,36.33
117,Pioneer Laptops Lite,Electronics,Pioneer,18214085.61,2071942.06,2743,11.38
319,Nimbus Cookware Pro,Home & Kitchen,Nimbus,17885385.77,7632465.77,3000,42.67
134,Nimbus Mobiles Max,Electronics,Nimbus,17821410.67,2205589.88,2777,12.38
34,Urban Craft Laptops Plus,Electronics,Urban Craft,17245129.400000002,2220583.4899999998,2871,12.88
116,Urban Craft Furniture Max,Home & Kitchen,Urban Craft,16824751.84,7178820.99,2851,42.67
189,Pioneer Cameras Lite,Electronics,Pioneer,14962302.02,3326010.99,2869,22.23
75,Urban Craft Cameras Lite,Electronics,Urban Craft,14288398.6,3655598.8200000003,2878,25.58
310,Highline Cameras Plus,Electronics,Highline,13537126.84,5874918.2,2902,43.4
52,Pioneer Mobiles Plus,Electronics,Pioneer,13514131.709999999,5658941.71,2737,41.87
246,Orbit Headphones Air,Electronics,Orbit,13376381.73,4931399.0,2771,36.87
64,Nova Accessories Plus,Electronics,Nova,13313492.66,4728188.66,2912,35.51
303,Zenith Tools Lite,Automotive,Zenith,12738408.52,4827001.94,2794,37.89
261,Urban Craft Cameras Lite,Electronics,Urban Craft,12413284.48,2381270.84,3058,19.18
219,Aria Car Accessories Lite,Automotive,Aria,12166945.91,4995937.98,2831,41.06
151,Sable Lighting Pro,Home & Kitchen,Sable,11414744.17,1720501.67,2909,15.07
193,Verve Furniture Pro,Home & Kitchen,Verve,11377153.35,4746106.15,2924,41.72
37,Pulse Cookware Pro,Home & Kitchen,Pulse,11259074.39,4731725.91,2944,42.03
150,Sable Cameras Air,Electronics,Sable,11237533.34,3707304.1,3001,32.99
306,Verve Sportswear Air,Sports & Fitness,Verve,11166921.33,8752790.73,2814,78.38
84,Lumen Headphones Air,Electronics,Lumen,10500545.65,1529755.21,2876,14.57
119,Solace Tools Classic,Automotive,Solace,9975923.02,4011096.18,2891,40.21
115,Nimbus Storage Pro,Home & Kitchen,Nimbus,9930013.04,3531682.91,2781,35.57
102,Lumen Headphones Air,Electronics,Lumen,9841723.41,3198154.5100000002,2815,32.5
78,Falcon Headphones Air,Electronics,Falcon,9738871.81,1215139.81,2856,12.48
294,Orbit Storage Air,Home & Kitchen,Orbit,9701823.16,2991969.56,2872,30.84
286,Lumen Bike Accessories Plus,Automotive,Lumen,9465208.370000001,3543178.37,3070,37.43
188,Ecliptic Storage Max,Home & Kitchen,Ecliptic,9380301.92,3053341.6999999997,2973,32.55
5,Crestline Sportswear Classic,Sports & Fitness,Crestline,9286760.45,1145419.19,3057,12.33
79,Pioneer Car Accessories Pro,Automotive,Pioneer,8546519.5,1094708.5,2790,12.81
252,Verve Storage Air,Home & Kitchen,Verve,8370815.89,2966221.44,3011,35.44
276,Lumen Cycling Air,Sports & Fitness,Lumen,8294005.43,1497142.49,2967,18.05
302,Orbit Baby Care Max,Toys & Baby,Orbit,8175084.53,2173423.89,2768,26.59
318,Aria Furniture Air,Home & Kitchen,Aria,8048420.43,2382054.41,3134,29.6
31,Falcon Car Accessories Pro,Automotive,Falcon,8047838.7,3361312.22,2776,41.77
255,Nimbus Storage Lite,Home & Kitchen,Nimbus,7799848.53,1905084.59,2873,24.42
279,Sable Storage Lite,Home & Kitchen,Sable,7755253.03,3243729.69,3001,41.83
217,Urban Craft Gym Equipment Pro,Sports & Fitness,Urban Craft,7388959.2299999995,2516060.55,2852,34.05
89,Falcon Cookware Classic,Home & Kitchen,Falcon,7341600.37,2534933.5,3009,34.53
233,Solace Furniture Classic,Home & Kitchen,Solace,7227259.83,2453940.59,2956,33.95
